,feature,mean,scale
219,DoRothEA::ETV3,-4.684651267659026,0.28359974636443763
220,DoRothEA::ETV4,4.4038616290480865,2.1214048787078426
221,DoRothEA::ETV5,4.44902991503493,0.3149262829221321
222,DoRothEA::ETV6,-3.8505039955138094,0.35590662825767944
223,DoRothEA::ETV7,-3.982914199585859,0.6903286673121983
224,DoRothEA::EVX1,4.23870772397616,0.31669186370988556
225,DoRothEA::EVX2,4.290986880341474,0.31052944183510756
226,DoRothEA::FEV,-4.733290496440644,0.27306651831777456
227,DoRothEA::FEZF1,4.369432559153855,0.32057911316442644
228,DoRothEA::FEZF2,0.0,1.0
229,DoRothEA::FIGLA,4.205021689351596,0.2845484056730034
230,DoRothEA::FIZ1,-4.756591839639005,0.2917493551117227
231,DoRothEA::FLI1,4.22127379784102,1.1387100007293096
232,DoRothEA::FOS,3.726384877798028,0.5829497078017577
233,DoRothEA::FOSB,4.288655818517927,0.3297993848346308
234,DoRothEA::FOSL1,5.25085770363101,1.409639721218832
235,DoRothEA::FOSL2,4.4630441609421,1.3940203129746793
236,DoRothEA::FOXA1,4.092427216225057,0.7401179240551257
237,DoRothEA::FOXA2,3.059901864573111,1.69339929372684
238,DoRothEA::FOXA3,4.138039552647169,0.35386957556886917
239,DoRothEA::FOXB1,4.353430923563406,0.3266770580161831
240,DoRothEA::FOXC1,4.256718782064176,0.42404235993764383
241,DoRothEA::FOXC2,4.082652889669915,0.46515458282371624
242,DoRothEA::FOXD1,4.138915376367535,0.3221643150590168
243,DoRothEA::FOXD2,4.188029471295388,0.34269428375265254
244,DoRothEA::FOXD3,4.116229466228613,0.3347019566090343
245,DoRothEA::FOXE1,3.675574092247301,0.9184917123569145
246,DoRothEA::FOXF1,3.425029903531024,0.8155157194707823
247,DoRothEA::FOXF2,3.951224163122887,0.34392956282365633
248,DoRothEA::FOXG1,4.026936799836915,0.3137002095088607
249,DoRothEA::FOXH1,4.4409384525866935,0.3056119263420294
250,DoRothEA::FOXI1,4.484162590175969,0.2807782624825856
251,DoRothEA::FOXJ1,3.5129772419271927,0.9296074574233701
252,DoRothEA::FOXJ2,4.337349897403873,0.45049356581427125
253,DoRothEA::FOXJ3,4.278684171669699,0.3292265289837222
254,DoRothEA::FOXK1,4.447096453105286,0.3199672812240203
255,DoRothEA::FOXK2,4.65385835786719,0.33472790636710753
256,DoRothEA::FOXL1,4.228167110612646,0.4174261760283581
257,DoRothEA::FOXL2,4.569543670264966,1.0471801898124664
258,DoRothEA::FOXM1,5.353611383709519,0.4553304030273022
259,DoRothEA::FOXN1,2.87403532875368,1.233984397135181
260,DoRothEA::FOXN2,3.752458944609384,0.37240234960099383
261,DoRothEA::FOXN3,-4.637866663529918,0.30917731052739367
262,DoRothEA::FOXN4,3.1040280818298482,0.7065358032974152
263,DoRothEA::FOXO1,1.4608124580341924,0.42506689762490774
264,DoRothEA::FOXO3,3.8705360224696284,0.4894915851365067
265,DoRothEA::FOXO4,4.350802926220002,0.6176490944692521
266,DoRothEA::FOXO6,4.147293360119985,0.4013914844338645
267,DoRothEA::FOXP1,-4.038720296509183,0.3932876463896373
268,DoRothEA::FOXP2,-3.874677646456458,0.4998175640525098
269,DoRothEA::FOXP3,1.6287021589793915,0.8995528015314781
270,DoRothEA::FOXP4,-4.497091999006821,0.4018519323104997
271,DoRothEA::FOXQ1,4.194959026092664,0.30303411633295535
272,DoRothEA::FOXS1,-3.832371272355851,0.7769563141010914
273,DoRothEA::GABPA,4.4979441672060645,0.32786375848486415
274,DoRothEA::GATA1,4.819479882237489,0.4766881311964235
275,DoRothEA::GATA2,1.6287009322865555,0.419399089251666
276,DoRothEA::GATA3,3.8766800030195516,0.3805815786826355
277,DoRothEA::GATA4,4.634111874386654,1.1309619782805742
278,DoRothEA::GATA5,4.180376185803074,0.34876194720894704
279,DoRothEA::GATA6,4.2098380765456325,0.7475130281252539
280,DoRothEA::GATAD2A,-5.15420715227385,0.2765641647955367
281,DoRothEA::GATAD2B,-4.4639247218382065,0.3394711979009772
282,DoRothEA::GBX1,4.393716988332788,0.3075814895562017
283,DoRothEA::GBX2,4.30511061115403,0.30464085305821814
284,DoRothEA::GCM1,4.241284583734728,0.3206857160017221
285,DoRothEA::GCM2,4.327303750115329,0.304352041723601
286,DoRothEA::GFI1,-4.217355964376379,0.29321084732223396
287,DoRothEA::GFI1B,5.0817687742417865,0.41340938126578586
288,DoRothEA::GLI1,0.23176071311743537,0.3293493003191931
289,DoRothEA::GLI2,-0.9594995093228655,0.8979440013651132
290,DoRothEA::GLI3,3.3471678115799803,1.1635712573607406
291,DoRothEA::GLI4,4.543085643115729,0.2837124490487326
292,DoRothEA::GLIS1,4.368502906919916,0.30125632231733024
293,DoRothEA::GLIS2,4.203382021861448,0.5366661697338945
294,DoRothEA::GLIS3,4.451310946713302,0.4431102936487575
295,DoRothEA::GLYR1,5.504087235634581,0.34269653308228565
296,DoRothEA::GMEB1,4.715478498351677,0.29610970453333285
297,DoRothEA::GMEB2,4.71128677857133,0.2835211470685559
298,DoRothEA::GRHL1,4.032740891263867,0.40862926757345175
299,DoRothEA::GRHL2,4.032914091716839,0.8187436529117336
300,DoRothEA::GRHL3,3.8841010543267656,0.784862317468058
301,DoRothEA::GSC,4.521731807201631,0.2822934289977872
302,DoRothEA::GSC2,4.481637556157773,0.28730698093069856
303,DoRothEA::GSX1,4.481172889233909,0.31922493321525325
304,DoRothEA::GSX2,4.215315422074916,0.30886129440135857
305,DoRothEA::GTF2B,3.8294600953224243,0.3577454028511298
306,DoRothEA::GTF2I,5.567212953876349,0.8266120416215411
307,DoRothEA::GTF3A,6.144240331370037,0.25959649103612803
308,DoRothEA::GZF1,-4.5503293637111115,0.33764295746900325
309,DoRothEA::HAND1,0.0,1.0
310,DoRothEA::HAND2,3.493848740595355,1.110917513916941
311,DoRothEA::HBP1,-4.4284003925417075,0.33151043073608727
312,DoRothEA::HDX,3.8058583911666366,0.5000331276277532
313,DoRothEA::HES1,-4.094533760511075,0.32278719737069883
314,DoRothEA::HES2,-4.240796016046003,0.35097504169995786
315,DoRothEA::HES4,-4.598429372440071,0.430324980427562
316,DoRothEA::HES5,-4.176829862246938,0.31495791524459577
317,DoRothEA::HES6,5.361826670505897,0.3055320743912883
318,DoRothEA::HES7,-4.310953474886252,0.30649679898414367
319,DoRothEA::HESX1,4.209294740708659,0.317524797607109
320,DoRothEA::HEY1,3.9607854527419883,0.34019963244334855
321,DoRothEA::HEY2,4.0835544651619236,0.3853644792233775
322,DoRothEA::HEYL,3.8493887667170474,1.1360040831402816
323,DoRothEA::HHEX,-2.74552175335296,1.0526601337319863
324,DoRothEA::HIC1,-3.0250063087060144,0.5469073102057378
325,DoRothEA::HIC2,-4.431824270609167,0.29577700641192395
326,DoRothEA::HIF1A,5.50903980987739,0.5563076751920588
327,DoRothEA::HIF3A,3.8861814179243033,0.46233098227142366
328,DoRothEA::HINFP,4.135903546894715,0.43425579789437885
329,DoRothEA::HIVEP1,4.289333357452639,0.37169303200673526
330,DoRothEA::HIVEP2,4.389178501042183,0.32256384056927184
331,DoRothEA::HIVEP3,4.39267056363869,0.3718907316290699
332,DoRothEA::HLF,4.2496402314360475,0.3243088247806226
333,DoRothEA::HLX,3.897873645763604,0.6876301373854153
334,DoRothEA::HMBOX1,-4.0886779195289495,0.40883140137822654
335,DoRothEA::HMG20A,4.163818532691485,0.3640575271500303
336,DoRothEA::HMG20B,4.8511213784681955,0.30739925941004653
337,DoRothEA::HMGA1,1.8956536909824449,0.7741712433044116
338,DoRothEA::HMGA2,3.5807028228366913,0.5852248264189716
339,DoRothEA::HMGN3,4.90312433331911,0.29301583428208416
340,DoRothEA::HMX1,4.265130150895364,0.3118977058794147
341,DoRothEA::HMX2,4.147598891209205,0.31228804179389585
342,DoRothEA::HMX3,4.240470043531869,0.30986284902527333
343,DoRothEA::HNF1A,0.0,1.0
344,DoRothEA::HNF1B,3.3708155053974482,0.9372726533969218
345,DoRothEA::HNF4A,3.71992051030422,0.4785519282673666
346,DoRothEA::HNF4G,3.877850483667461,0.6523427281797727
347,DoRothEA::HOMEZ,4.19695486256182,0.2692954970424467
348,DoRothEA::HOXA1,5.551287209682696,0.8929219931836099
349,DoRothEA::HOXA10,0.7790039254170756,1.0637535676016225
350,DoRothEA::HOXA11,4.394402056003203,0.30957035494990925
351,DoRothEA::HOXA13,4.076321283623767,0.3234630014298683
352,DoRothEA::HOXA2,4.340548467996946,0.30953803397235957
353,DoRothEA::HOXA3,3.7840943691483435,0.6068157638206307
354,DoRothEA::HOXA4,4.040821695478221,0.4722420961145738
355,DoRothEA::HOXA5,4.107159941503588,0.3375758227388232
356,DoRothEA::HOXA6,2.526614327772326,2.1067044233612897
357,DoRothEA::HOXA7,4.278163297350343,0.4496913939375234
358,DoRothEA::HOXA9,3.6297252208047106,0.645057959007013
359,DoRothEA::HOXB13,3.474202505339721,0.6774909346027411
360,DoRothEA::HOXB2,4.16983600815279,0.4621543078989515
361,DoRothEA::HOXB3,3.948834453083717,0.36512650937224406
362,DoRothEA::HOXB4,4.209625252498253,0.3322019177372109
363,DoRothEA::HOXB5,4.160454192131676,0.33856744153849283
364,DoRothEA::HOXB6,3.0439923275938976,1.0118940645050414
365,DoRothEA::HOXB7,4.1260044861909435,0.32733977423081567
366,DoRothEA::HOXB8,4.248690092913015,0.3100239600377767
367,DoRothEA::HOXB9,1.2036162904808636,1.9963290522745556
368,DoRothEA::HOXC10,4.486814723158539,0.3021663813879541
369,DoRothEA::HOXC11,5.791776251226692,0.4306014974916833
370,DoRothEA::HOXC12,4.395457836199921,0.30143428759671553
371,DoRothEA::HOXC13,4.122836402470703,0.31070954824364605
372,DoRothEA::HOXC4,3.7171753352960426,0.8091131664061442
373,DoRothEA::HOXC6,3.2940660778541053,0.6593287961630956
374,DoRothEA::HOXC8,3.7042541707556427,1.9300923577615332
375,DoRothEA::HOXC9,4.332028696152415,0.31984892787178143
376,DoRothEA::HOXD10,3.0847955511939813,1.63823981471244
377,DoRothEA::HOXD11,4.460852774037474,0.29708323222261995
378,DoRothEA::HOXD12,4.394127183513248,0.29269324111495193
379,DoRothEA::HOXD13,4.091630263096405,0.3179889129046816
380,DoRothEA::HOXD3,4.39967541592374,0.33079591994696544
381,DoRothEA::HOXD8,4.087293494608358,0.32863244950337894
382,DoRothEA::HOXD9,4.141749191111456,0.3273003750178883
383,DoRothEA::HSF1,4.973227674190383,0.44481198813499206
384,DoRothEA::HSF2,4.340838825207652,0.31424553587738513
