,feature,mean,scale
279,DoRothEA::GATA6,5.062457295180067,0.3260347631205036
280,DoRothEA::GATAD2A,-5.810030044270586,0.09954630851407602
281,DoRothEA::GATAD2B,-5.589228886687812,0.16674881353555618
282,DoRothEA::GBX1,4.986494578029231,0.08317625486729315
283,DoRothEA::GBX2,4.960841358451955,0.08762002312162116
284,DoRothEA::GCM1,4.87615587246798,0.0790174116781654
285,DoRothEA::GCM2,5.023993762013564,0.06294169737790159
286,DoRothEA::GFI1,-5.3016994043468735,0.049467034625633254
287,DoRothEA::GFI1B,6.409033474776049,0.1469444129410182
288,DoRothEA::GLI1,-0.05887631620304888,0.20006598604336287
289,DoRothEA::GLI2,-2.290247524752475,0.7472717768407661
290,DoRothEA::GLI3,4.231270155586987,0.57199535042309
291,DoRothEA::GLI4,4.997806961147242,0.12896658118916615
292,DoRothEA::GLIS1,5.338835041728419,0.059152295911237884
293,DoRothEA::GLIS2,5.020965823720286,0.12395082713811931
294,DoRothEA::GLIS3,5.385309149046773,0.11379556298137061
295,DoRothEA::GLYR1,6.045564107818993,0.17993582290019153
296,DoRothEA::GMEB1,5.442215484166038,0.09901240016202155
297,DoRothEA::GMEB2,5.517611581796293,0.13088385546061546
298,DoRothEA::GRHL1,4.844313852889579,0.11502056869331279
299,DoRothEA::GRHL2,4.912244351848312,0.26045999235241607
300,DoRothEA::GRHL3,4.251327385485801,0.2632269382691813
301,DoRothEA::GSC,5.224035673484931,0.0645399890752495
302,DoRothEA::GSC2,5.259012820679184,0.055929434865602284
303,DoRothEA::GSX1,5.252158514358898,0.06586153513356745
304,DoRothEA::GSX2,5.10731332230258,0.06634235175335852
305,DoRothEA::GTF2B,5.051704407760459,0.07878311100037048
306,DoRothEA::GTF2I,7.287656765676568,0.7392586857306022
307,DoRothEA::GTF3A,5.874699897663529,0.17101050783780025
308,DoRothEA::GZF1,-5.655128559960244,0.20795327267394562
309,DoRothEA::HAND1,0.0,1.0
310,DoRothEA::HAND2,3.801053088165959,0.2835144211682075
311,DoRothEA::HBP1,-5.748254138155128,0.15625165673832567
312,DoRothEA::HDX,4.811209292871118,0.10509183099646613
313,DoRothEA::HES1,-4.937667027206922,0.07761618919035984
314,DoRothEA::HES2,-4.786739042325285,0.08932522091769698
315,DoRothEA::HES4,-5.380199148687505,0.14544008041890585
316,DoRothEA::HES5,-4.831459217350306,0.074500559740191
317,DoRothEA::HES6,5.368816624177388,0.14022188632568702
318,DoRothEA::HES7,-4.966602588830312,0.10754663027983535
319,DoRothEA::HESX1,4.936713708880864,0.08960080289806202
320,DoRothEA::HEY1,4.75947582546273,0.11178275818485456
321,DoRothEA::HEY2,4.712528633083089,0.09606304085997332
322,DoRothEA::HEYL,4.661772886360586,0.31874835523037337
323,DoRothEA::HHEX,-4.5974823196605366,0.5791487229062187
324,DoRothEA::HIC1,-2.8034309961608406,0.520018157191682
325,DoRothEA::HIC2,-5.252869608283423,0.05816442179013028
326,DoRothEA::HIF1A,5.9560050101395685,0.30415755122020177
327,DoRothEA::HIF3A,4.719239191100577,0.1343025074389067
328,DoRothEA::HINFP,5.793888664376642,0.19326076871157472
329,DoRothEA::HIVEP1,5.714835124723796,0.1110805028789532
330,DoRothEA::HIVEP2,5.575660592033229,0.12152620698120403
331,DoRothEA::HIVEP3,5.452162638624111,0.11965718621723989
332,DoRothEA::HLF,5.065672560113155,0.06846674162005562
333,DoRothEA::HLX,5.59507798083498,0.183937949110826
334,DoRothEA::HMBOX1,-5.760654031117397,0.13795297794714545
335,DoRothEA::HMG20A,5.258934018507515,0.13576578349469276
336,DoRothEA::HMG20B,5.276407174199563,0.09280696495228734
337,DoRothEA::HMGA1,3.547796636806538,0.4119454175098818
338,DoRothEA::HMGA2,4.377422830518346,0.20627830777665015
339,DoRothEA::HMGN3,5.58205553164012,0.07017780922935676
340,DoRothEA::HMX1,5.052874087974568,0.06314180628205086
341,DoRothEA::HMX2,5.035586585063381,0.05799876992303565
342,DoRothEA::HMX3,5.142644398505785,0.0636856302255769
343,DoRothEA::HNF1A,0.0,1.0
344,DoRothEA::HNF1B,5.006743988684583,0.4471386899032766
345,DoRothEA::HNF4A,4.197811881188119,0.27790539785305907
346,DoRothEA::HNF4G,5.357055465750657,0.319218318654216
347,DoRothEA::HOMEZ,4.7782016819079365,0.24110175289658967
348,DoRothEA::HOXA1,5.672154644035832,0.555803883498376
349,DoRothEA::HOXA10,1.2765770862800565,0.7210066498846815
350,DoRothEA::HOXA11,5.1449031149111075,0.06816699470076681
351,DoRothEA::HOXA13,4.807987006902582,0.07169681918216914
352,DoRothEA::HOXA2,5.096633911511452,0.08965172986281948
353,DoRothEA::HOXA3,4.811908329829122,0.40162592420056875
354,DoRothEA::HOXA4,4.639897182025895,0.22779533965915363
355,DoRothEA::HOXA5,5.098150289818898,0.07773977307720968
356,DoRothEA::HOXA6,3.606417963224894,2.2450634623836225
357,DoRothEA::HOXA7,4.870500707213578,0.32225187410975736
358,DoRothEA::HOXA9,5.628532531824611,0.29744532558767434
359,DoRothEA::HOXB13,3.779937598801897,0.27731353478324333
360,DoRothEA::HOXB2,4.9357144597976275,0.08162005270308322
361,DoRothEA::HOXB3,4.888227976643818,0.0832997543417677
362,DoRothEA::HOXB4,4.958778254145592,0.08280191725126153
363,DoRothEA::HOXB5,4.905085915946616,0.08458967439540452
364,DoRothEA::HOXB6,4.601838755304102,0.7763490008328362
365,DoRothEA::HOXB7,4.569629362353145,0.1683126103112704
366,DoRothEA::HOXB8,5.166961628493676,0.08169601332397682
367,DoRothEA::HOXB9,4.52995756718529,2.095318415586837
368,DoRothEA::HOXC10,5.235030304272663,0.0904327413518703
369,DoRothEA::HOXC11,6.3741195190947675,0.21126783764445864
370,DoRothEA::HOXC12,5.141436387999702,0.08168793382346189
371,DoRothEA::HOXC13,5.08587070471753,0.06367728458691838
372,DoRothEA::HOXC4,4.382399811409712,0.4227679747467163
